bbrID,nbaID
anderjj01,
architi01,76054
austiis01,1134
averibi01,76076
bakerla01,1858
baldwwa01,1627735
bardost01,76097
boydfr01,76222
brittda01,76261
burdeti01,76303
coxch01,76463
crompge01,76474
dampilo01,76499
datomlu01,203540
davisch02,76518
davisdw01,
davismi02,76522
davismi03,76530
edelike01,76637
ennisja01,203516
fontais01,1829
freewo01,76753
grandro01,97
greento01,76879
greenda01,76881
hamilro01,76928
hassejo01,76966
heardga01,76985
hilarne01,2403
holtomi01,77047
mbengdj01,2788
jetereu01,200817
johnsch01,77133
johnsch02,77159
jonesbo01,77193
jonesch03,1869
joneshu01,77203
jonespe01,203103
kennego01,77243
kupeccj01,77325
kutluib01,2825
lawreed01,77348
laytomo01,77350
leverfa01,77376
llamaho01,1024
lockro01,77398
mcclesh01,1627815
manniri01,316
marshri01,77465
martima01,77476
mcclate01,77510
medvest01,2098
murraro01,2436
obryajo01,203948
phelpmi01,77852
pittmch01,77864
rayja01,77920
rentzef01,981
richano01,2369
robincl01,77986
rosero01,78016
schayda01,7
seungha01,
sheppje01,1852
sheroed01,78136
smithsa02,78205
smithst01,120
stallbu01,78239
sweetmi01,2552
taylofa01,78302
turpime01,78386
valenro01,78396
vandelo01,78403
verhope01,78414
princta02,1627752
washipe01,78465
weathcl01,221
whitnha02,78519
willidu01,78545
willisa02,78569
wilsobu01,78587
wilsomi01,78581
yuesu01,201180