bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
vanarto01,1965-66,22,DET,NBA,79,25.8,.374,.721,3.9,2.6,,,10.5,10.6,1.4,.033,,
vanarto01,1966-67,23,DET,NBA,79,27.0,.391,.784,4.3,2.4,,,12.2,12.6,3.1,.069,,
vanarto01,1967-68,24,"DET,CIN",NBA,77,19.7,.387,.746,2.9,2.0,,,7.9,10.6,1.0,.032,,
vanarto01,1968-69,25,CIN,NBA,77,39.7,.444,.747,4.6,2.7,,,19.4,12.7,4.8,.075,,
vanarto01,1969-70,26,CIN,NBA,71,35.8,.451,.774,6.5,2.2,,,22.8,16.3,5.0,.093,,
vanarto01,1970-71,27,CIN,NBA,82,38.4,.456,.721,6.1,2.2,,,22.9,15.0,5.5,.084,,
vanarto01,1971-72,28,CIN,NBA,73,35.6,.456,.755,4.8,2.7,,,19.2,14.7,4.0,.073,,
vanarto01,1972-73,29,"KCO,PHI",NBA,79,29.3,.427,.812,4.5,1.9,,,14.4,13.3,2.2,.045,,
vanarto01,1973-74,30,PHI,NBA,78,39.0,.428,.851,5.0,2.6,0.8,0.0,19.6,12.5,2.7,.043,-2.9,-0.7
vanarto01,1974-75,31,"PHI,ATL",NBA,82,34.7,.428,.759,3.4,2.7,1.1,0.0,18.4,13.8,4.4,.074,-1.9,0.1
vanarto01,1975-76,32,ATL,NBA,75,27.0,.441,.759,2.5,1.9,0.8,0.1,10.9,11.1,1.6,.038,-4.0,-1.0
vanarto01,1976-77,33,PHO,NBA,77,18.5,.433,.703,2.4,0.9,0.3,0.0,5.8,7.7,1.1,.037,-5.9,-1.4