name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Age,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team
Kermit Washington,/players/w/washike01.html,1974,1988,American University,false,"Coolidge in Washington, District of Columbia",+0.67,2.72,washike01,1976-77,LAL,16.0,4.3,.153,0.5,0.9,,25,NBA,53,25.3,.503,.706,9.3,0.9,0.8,1.0,9.7,LAL
Kermit Washington,/players/w/washike01.html,1974,1988,American University,false,"Coolidge in Washington, District of Columbia",+1.06,3.73,washike01,1977-78,TOT,17.4,5.3,.158,1.0,1.2,,26,NBA,57,28.4,.487,.691,10.8,1.3,0.8,1.1,11.6,"LAL,BOS"
Kermit Washington,/players/w/washike01.html,1974,1988,American University,false,"Coolidge in Washington, District of Columbia",+0.89,5.94,washike01,1978-79,SDC,15.0,6.9,.120,2.3,3.0,,27,NBA,82,33.7,.562,.688,9.8,1.5,1.0,1.5,11.3,SDC
Kermit Washington,/players/w/washike01.html,1974,1988,American University,false,"Coolidge in Washington, District of Columbia",+2.11,8.35,washike01,1979-80,POR,18.2,9.1,.165,3.8,3.9,,28,NBA,80,33.2,.553,.642,10.5,2.1,0.9,1.6,13.4,POR
Kermit Washington,/players/w/washike01.html,1974,1988,American University,false,"Coolidge in Washington, District of Columbia",+1.84,6.30,washike01,1980-81,POR,17.4,6.8,.153,3.2,2.8,,29,NBA,73,29.0,.569,.628,9.4,2.0,1.2,1.2,11.4,POR
Kermit Washington,/players/w/washike01.html,1974,1988,American University,false,"Coolidge in Washington, District of Columbia",-0.86,0.40,washike01,1981-82,POR,11.7,0.8,.095,0.0,0.2,,30,NBA,20,20.9,.487,.585,5.9,1.5,0.5,0.8,5.0,POR
Kermit Washington,/players/w/washike01.html,1974,1988,American University,false,"Coolidge in Washington, District of Columbia",,,washike01,1982-83,Did Not Play (retired),,,,,,,31,,,,,,,,,,,Did Not Play (retired)
Kermit Washington,/players/w/washike01.html,1974,1988,American University,false,"Coolidge in Washington, District of Columbia",,,washike01,1983-84,Did Not Play (retired),,,,,,,32,,,,,,,,,,,Did Not Play (retired)
Kermit Washington,/players/w/washike01.html,1974,1988,American University,false,"Coolidge in Washington, District of Columbia",,,washike01,1984-85,Did Not Play (retired),,,,,,,33,,,,,,,,,,,Did Not Play (retired)
Kermit Washington,/players/w/washike01.html,1974,1988,American University,false,"Coolidge in Washington, District of Columbia",,,washike01,1985-86,Did Not Play (retired),,,,,,,34,,,,,,,,,,,Did Not Play (retired)
Kermit Washington,/players/w/washike01.html,1974,1988,American University,false,"Coolidge in Washington, District of Columbia",,,washike01,1986-87,Did Not Play (retired),,,,,,,35,,,,,,,,,,,Did Not Play (retired)
Kermit Washington,/players/w/washike01.html,1974,1988,American University,false,"Coolidge in Washington, District of Columbia",-0.19,0.08,washike01,1987-88,GSW,12.9,0.1,.082,-5.5,0.0,,36,NBA,6,9.3,.500,1.000,3.2,0.0,0.7,0.7,2.7,GSW